year,0-6,6-15,15-18,18-25,25-45,45-60,60-65,65-75,75-100
1991,219697,323080,93141,315022,1138060,715683,153042,225032,260818
1992,212714,330474,96927,296904,1161718,724944,152751,233583,246876
1993,205697,335982,100660,283852,1175689,732191,151741,242289,233320
1994,189438,339299,103749,269559,1179919,732890,161524,247414,228492
1995,178279,338202,107900,263079,1177515,732485,172966,246230,229383
1996,169259,334837,111085,258725,1169222,726570,185570,245419,227957
1997,166129,321380,112063,259204,1144987,715105,199648,245001,224384
1998,163863,307158,109694,267034,1124512,703648,214140,248334,219852
1999,164873,294859,107429,274458,1108933,690812,221984,260525,217014
2000,165357,282279,105383,282127,1097981,676348,230699,273138,217920
2001,166407,271355,105201,289729,1095712,662887,240554,286234,219153
2002,166882,260657,106095,294283,1090271,656947,240954,300363,219796
2003,166188,250558,106607,295659,1082072,651142,241471,314610,221935
2004,165216,242173,105657,295443,1077202,653928,236619,331103,225767
2005,166535,234913,103590,294927,1073614,667533,220311,348249,229764
2006,167117,233389,95087,294660,1069230,691097,194629,370572,233024
2007,170136,232816,86889,294093,1058259,706262,185891,384460,235052
2008,173832,233775,78584,295040,1046757,721306,177748,398114,237687
2009,178581,235576,76005,291531,1033694,731030,175136,400565,247554
2010,182927,239243,75001,287383,1029521,738637,185009,391068,258773
2011,188030,241745,76137,282612,1040118,750391,197115,378698,272268
2012,192578,244555,78337,276459,1057696,760822,200966,371938,286270
2013,195935,249949,80324,268817,1079278,772817,203465,365847,300992
2014,200333,256460,81533,259859,1098163,779756,203085,360605,322372
2015,209258,264907,83271,254607,1121905,784587,200789,354699,336133
2016,216644,274553,85817,261310,1142410,789010,200946,345791,354141
2017,222105,280132,86083,263487,1160601,788035,202314,342448,366725
2018,224611,286606,85672,266421,1180501,783917,205035,337091,378294
2019,226223,291703,87172,266927,1190592,775263,210109,334622,386884
