year,male,female,german,foreign
1991,1642552,1801023,3088219,355356
1992,1654621,1802270,3070980,385911
1993,1660088,1801333,3054784,406637
1994,1660546,1791738,3033082,419202
1995,1662658,1783381,3010341,435698
1996,1658720,1769924,2984532,444112
1997,1640831,1747070,2947654,440247
1998,1628119,1730116,2920299,437936
1999,1620986,1719901,2903110,437777
2000,1616893,1714339,2896115,435117
2001,1620941,1716291,2896886,440346
2002,1621209,1715039,2893694,442554
2003,1619735,1710507,2886215,444027
2004,1623246,1709862,2882208,450900
2005,1628776,1710660,2878881,460555
2006,1635848,1712957,2881122,467683
2007,1638743,1715115,2883854,470004
2008,1643408,1719435,2892792,470051
2009,1646698,1722974,2909485,460187
2010,1655631,1731931,2929756,457806
2011,1676434,1750680,2948902,478212
2012,1699007,1770614,2965676,503945
2013,1725465,1791959,2978695,538729
2014,1750121,1812045,2988824,573342
2015,1779319,1830837,2989081,621075
2016,1813879,1856743,2993881,676741
2017,1836008,1875922,3000648,711282
2018,1855248,1892900,2999676,748472
2019,1865443,1904052,2992150,777345
